CustID,VehicleID,StartDate,OrderDate,RentalType,Qty,ReturnDate,TotalAmount,PaymentDate
203,JM3KE4DY4F0441471,9/9/2019,5/22/2019,1,4,9/13/2019,460,9/9/2019
210,19VDE1F3XEE414842,11/1/2019,10/28/2019,7,2,11/15/2019,1200,NULL
210,JTHFF2C26F135BX45,5/1/2019,4/15/2019,7,1,5/8/2019,600,5/8/2019
210,JTHFF2C26F135BX45,11/1/2019,10/28/2019,7,2,11/15/2019,1200,NULL
210,WAUTFAFH0E0010613,11/1/2019,10/28/2019,7,2,11/15/2019,1200,NULL
210,WBA3A9G51ENN73366,11/1/2019,10/28/2019,7,2,11/15/2019,1200,NULL
210,WBA3B9C59EP458859,11/1/2019,10/28/2019,7,2,11/15/2019,1200,NULL
210,WDCGG0EB0EG188709,11/1/2019,10/28/2019,7,2,11/15/2019,1200,NULL
212,19VDE1F3XEE414842,6/10/2019,4/15/2019,7,3,7/1/2019,1800,6/10/2019
216,1N6BF0KM0EN101134,8/2/2019,3/15/2019,7,4,8/30/2019,2740,8/2/2019
216,1N6BF0KM0EN101134,8/30/2019,3/15/2019,1,2,9/1/2019,230,8/2/2019
221,19VDE1F3XEE414842,7/1/2019,6/12/2019,7,1,7/8/2019,600,7/1/2019
221,19VDE1F3XEE414842,7/9/2019,6/12/2019,1,2,7/11/2019,200,7/1/2019
221,19VDE1F3XEE414842,1/1/2020,12/15/2019,7,4,1/29/2020,2400,NULL
221,JTHFF2C26F135BX45,1/1/2020,12/15/2019,7,4,1/29/2020,2400,NULL
221,WAUTFAFH0E0010613,7/1/2019,6/12/2019,7,1,7/8/2019,600,7/1/2019
221,WAUTFAFH0E0010613,7/9/2019,6/12/2019,1,2,7/11/2019,200,7/1/2019
221,WAUTFAFH0E0010613,1/1/2020,12/15/2019,7,4,1/29/2020,2400,NULL
221,WBA3A9G51ENN73366,1/1/2020,12/15/2019,7,4,1/29/2020,2400,NULL
221,WBA3B9C59EP458859,1/1/2020,12/15/2019,7,4,1/29/2020,2400,NULL
221,WDCGG0EB0EG188709,1/1/2020,12/15/2019,7,4,1/29/2020,2400,NULL
229,19VDE1F3XEE414842,5/6/2019,4/12/2019,1,4,5/10/2019,400,5/6/2019
229,WAUTFAFH0E0010613,5/6/2019,4/12/2019,1,4,5/10/2019,400,5/6/2019
